GL계정,계정명,전기일,코스트센터,코스트센터명,내역1,거래처,형태,형태명,역무2,서비스명,금액의합계
400100,기본료,20250115,10400,요금정산팀,1월 LTE 정액요금제 기본료,,FT1310,정액요금수익,T004,LTE,"-875,500,000"
400100,기본료,20250215,10400,요금정산팀,2월 LTE 정액요금제 기본료,,FT1310,정액요금수익,T004,LTE,"-901,000,000"
400100,기본료,20250315,10400,요금정산팀,3월 LTE 정액요금제 기본료,,FT1310,정액요금수익,T004,LTE,"-926,500,000"
410101,매출에누리-기본료,20250115,10410,요금정산팀,1월 약정할인 에누리,,FT1310,정액요금수익,T004,LTE,"97,850,000"
410101,매출에누리-기본료,20250215,10410,요금정산팀,2월 약정할인 에누리,,FT1310,정액요금수익,T004,LTE,"100,700,000"
410101,매출에누리-기본료,20250315,10410,요금정산팀,3월 약정할인 에누리,,FT1310,정액요금수익,T004,LTE,"103,550,000"
400200,음성통화수익,20250115,10400,멤버십운영팀,'1월 쿠폰 미사용 소멸 낙전,가나서비스(주),FT8000,기타영업수익,T005,5G,"-2,575,000"
400200,음성통화수익,20250215,10400,멤버십운영팀,'2월 쿠폰 미사용 소멸 낙전,가나서비스(주),FT8000,기타영업수익,T005,5G,"-2,650,000"
400200,음성통화수익,20250315,10400,멤버십운영팀,'3월 쿠폰 미사용 소멸 낙전,가나서비스(주),FT8000,기타영업수익,T005,5G,"-2,725,000"
400200,음성통화수익,20250115,10400,멤버십운영팀,'1월 선불쿠폰 낙전 정리,가나서비스(주),FT1310,정액요금수익,T003,3G,"-1,236,000"
400200,음성통화수익,20250215,10400,멤버십운영팀,'2월 선불쿠폰 낙전 정리,가나서비스(주),FT1310,정액요금수익,T003,3G,"-1,272,000"
400200,음성통화수익,20250315,10400,멤버십운영팀,'3월 선불쿠폰 낙전 정리,가나서비스(주),FT1310,정액요금수익,T003,3G,"-1,308,000"
400270,통화수익_충성제도,20250115,10400,마케팅팀,프리미엄 임대폰 사용료 포인트결제,,FT1400,장치비,T005,5G,"-824,000"
400270,통화수익_충성제도,20250215,10400,마케팅팀,프리미엄 임대폰 사용료 포인트결제,,FT1400,장치비,T005,5G,"-848,000"
400270,통화수익_충성제도,20250315,10400,마케팅팀,프리미엄 임대폰 사용료 포인트결제,,FT1400,장치비,T005,5G,"-872,000"
400100,기본료,20250115,10400,결산팀,조정전표(4-2)_기본료 가산,,FT1210,기본료,T004,LTE,"-30,900,000,000"
400100,기본료,20250215,10400,결산팀,조정전표(4-2)_기본료 가산,,FT1210,기본료,T004,LTE,"-31,800,000,000"
400100,기본료,20250315,10400,결산팀,조정전표(4-2)_기본료 가산,,FT1210,기본료,T004,LTE,"-32,700,000,000"
402200,Data통화수익,20250115,10402,요금정산팀,1월 NSA 데이터 정산,,FT1322,초과_데이터통화료,T914,NSA공통,"-185,400,000"
402200,Data통화수익,20250215,10402,요금정산팀,2월 NSA 데이터 정산,,FT1322,초과_데이터통화료,T914,NSA공통,"-190,800,000"
402200,Data통화수익,20250315,10402,요금정산팀,3월 NSA 데이터 정산,,FT1322,초과_데이터통화료,T914,NSA공통,"-196,200,000"
460200,기본료-MVNO,20250115,10460,도매사업팀,1월 MVNO 도매대가,다라텔레콤(주),FT7000,도매제공수익,T915,5G패킷공통,"-15,450,000,000"
