계정,계정명,형태,역무,기대태그,기대판정,시나리오
400100,기본료,FT1310,T004,일반요금,적정,일반 요금수익 (LLM 판정 대상)
410101,매출에누리-기본료,FT1310,T004,매출에누리,적정,[룰] 에누리 → 원 형태 준용
400200,음성통화수익,FT8000,T005,낙전,적정,[룰] 낙전 → 기타영업수익 적정 (FY2013)
400200,음성통화수익,FT1310,T003,낙전,검토필요,[룰] 낙전인데 요금수익 형태 → 검토필요 (음성 케이스)
400270,통화수익_충성제도,FT1400,T005,장치임대,적정,[룰] 임대폰 → 장치비 적정 (FY2022)
400100,기본료,FT1210,T004,조정전표,검토필요,[룰] 조정전표 → 소명
402200,Data통화수익,FT1322,T914,배부확인,검토필요,[룰] 공통역무 → 배부확인
460200,기본료-MVNO,FT7000,T915,배부확인,검토필요,[룰] 공통역무 우선 (도매+S9xx)
402220,폰메일,FT1223,T004,일반요금,적정,SMS를 SMS 형태로 — 적정 (FY2019·2020)
460200,기본료-MVNO,FT7000,T004,도매제공,적정,MVNO 도매 — 적정
499100,솔루션판매,FT8000,T501,기타영업,적정,솔루션 판매 — 기타영업 (도매 아님)
499200,연체료수익,FT8000,T004,연체료,적정,연체료 → 기타영업수익 적정 (FY2015·2016)
499200,연체료수익,FT1310,T005,연체료,검토필요,연체료인데 요금수익 형태 → 검토필요 (음성 케이스)
400300,로밍수익,FT1310,T005,로밍,검토필요,OutBound 로밍은 기타요금수익이어야 (FY2020·2024) — 검토필요
411400,이동망접속수익,FT2020,T004,접속정산,적정,접속수익 — 적정
400400,해지위약금수익,FT1310,T004,해지위약금,검토필요,해지위약금은 기타요금수익이어야 (FY2016·2019·2021) — 검토필요
403100,인터넷수익,FT1310,T004,일반요금,적정,역무 오분류 시나리오: 인터넷 수익인데 역무 LTE — svc_check 검토필요 기대 (참조표 제공 시)
