GL계정,계정명,코스트센터,코스트센터명,거래처,형태,형태명,기능2,기능명,역무2,서비스명,내역1,금액의합계_합계,건수
600900,주식보상비용,17320,회계팀_결산조정,,FO1010,급여,F2210,일반관리,T900,전사공통,1분기 스톡옵션평가,-30526,1
600900,주식보상비용,17320,회계팀_결산조정,,FO1010,급여,F2210,일반관리,T900,전사공통,2분기 스톡옵션평가,21147,1
610300,기지국-교환기회선료,51100,수도권유선Infra팀_공통,(주)가나통신,FO3020,선로설비사용료,F2420,설비사용료_선로,T931,NW_IoT공통,1월 기지국회선료,245000000,1
610300,기지국-교환기회선료,51100,수도권유선Infra팀_공통,(주)가나통신,FO3020,선로설비사용료,F2420,설비사용료_선로,T931,NW_IoT공통,2월 기지국회선료,245000000,1
630100,TV광고비,25100,브랜드마케팅팀_공통,(주)다라기획,FO5010,광고선전비,F2210,일반관리,T004,LTE,1분기 TV 브랜드 광고,-850000000,1
630100,TV광고비,25100,브랜드마케팅팀_공통,(주)다라기획,FO5010,광고선전비,F2210,일반관리,T004,LTE,2분기 TV 브랜드 광고,-920000000,1
615200,기지국수선비,51200,남부네트워크운용팀_공통,(주)마바이엔지,FO4020,수선비,F2410,설비운영_무선,T004,LTE,1월 기지국 정기점검 수선,-56000000,1
615200,기지국수선비,51200,남부네트워크운용팀_공통,(주)마바이엔지,FO4020,수선비,F2410,설비운영_무선,T004,LTE,2월 기지국 정기점검 수선,-61000000,1
620400,사무실임차료,18200,총무팀_공통,(주)사아부동산,FO6010,임차료,F2410,설비운영_무선,T004,LTE,본사 3층 사무실 임차료 1월,-120000000,1
620400,사무실임차료,18200,총무팀_공통,(주)사아부동산,FO6010,임차료,F2410,설비운영_무선,T004,LTE,본사 3층 사무실 임차료 2월,-120000000,1
640700,콜센터용역비,32100,고객센터운영팀_공통,(주)자차서비스,FO7010,지급수수료,F2310,고객서비스,T004,LTE,1월 콜센터 위탁 운영비,-310000000,1
640700,콜센터용역비,32100,고객센터운영팀_공통,(주)자차서비스,FO7010,지급수수료,F2310,고객서비스,T004,LTE,2월 콜센터 위탁 운영비,-305000000,1
